kr,eng
"어른이 됐을 때쯤, 나는 자연스레 내가 어른이 됐을 거라 생각했다. (이브 바비츠, 인생명언)","By the time I'd grown up, I naturally supposed that I'd be grown up. (Eve Babitz)"
"이 순간을 살면서 모든 삶의 축복에 대한 경외심을 느낍니다. (오프라 윈프리, 인생명언)",Living in the moment brings you a sense of reverence for all of life's blessings. (Oprah Winfrey)
"어린 시절에 대한 향수를 느끼는 사람은 분명 어린이였던 적이 없다. (빌 워터슨, 인생명언)",People who get nostalgic about childhood were obviously never children. (Bill Watterson)
"어떤 사람들은 3루에 태어났지만 자신이 3루타를 쳤다고 생각하면서 인생을 산다. (배리 스윗처, 인생명언)",Some people are born on third base and go through life thinking they hit a triple. (Barry Switzer)
"내가 태어났을 때 나는 너무 놀라서 1년 반동안 말을 할 수 없었다. (그레이시 앨런, 인생명언)",When I was born I was so surprised I didn't talk for a year and a half. (Gracie Allen)
"인생의 비극이란 사람들이 사는 동안 가슴과 영혼에서 숨을 거둔 것들이다. (알버트 아인슈타인, 인생명언)",The tragedy of life is what dies in the hearts and souls of people while they live. (Albert Einstein)
"인격은 그 사람의 운명이다. (헤라클레이토스, 인생명언)",A man's character is his fate. (Heraclitus)
"나는 고령의 황금기에 있다. (벤자민 프랭클린, 인생명언)",I am in the prime of senility. (Benjamin Franklin)
"인내할 수 있는 사람은 그가 바라는 것은 무엇이든지 손에 넣을 수 있다. (벤자민 프랭클린, 인생명언)",He that can have patience can have what he will. (Benjamin Franklin)
"좋은 인간이 되는 것과 좋은 시민이 되는 것이 항상 같은 것은 아니다. (아리스토텔레스, 인생명언)",It is not always the same thing to be a good man and a good citizen. (Aristotle)
"인생은 백치가 지껄이는 이야기와 같다. 시끄럽고 정신없으나 아무 뜻도 없다. (윌리엄 셰익스피어 , 인생명언)","Life is a tale told by an idiot -- full of sound and fury, signifying nothing. (William Shakespeare)"
"삶은 즐겁다. 죽음은 평화롭다. 골칫거리는 바로 그 중간과정이다. (아이작 아시모프, 인생명언)",Life is pleasant. Death is peaceful. It's the transition that's troublesome. (Isaac Asimov)
"인생에서 원하는 것을 얻기 위한 첫 번째 단계는 내가 무엇을 원하는지 결정하는 것이다. (벤 스타인, 인생명언)",The first step to getting the things you want out of life is this: Decide what you want. (Ben Stein)
"반성하지 않는 삶은 살 가치가 없다. (소크라테스, 인생명언)",The unexamined life is not worth living. (Socrates)
"인생이란 누구나 한 번쯤 시도해 볼 만한 것이다. (헨리 J. 틸만, 인생명언)",Life is something that everyone should try at least once. (Henry J. Tillman)
"인생의 목적은 성숙하지 않기 위해 싸우는 것이다. (딕 워트하이머, 인생명언)",The purpose of life is to fight maturity. (Dick Werthimer)
"인생은 같은 얘기를 또 듣는 것과 같이 나른한 사람의 흐릿한 귀를 거슬리게 한다. (윌리엄 셰익스피어 , 인생명언)","Life is as tedious as a twice-told tale, vexing the dull ear of a drowsy man. (William Shakespeare)"
"오래 살기를 원하면 잘 살아라. 어리석음과 사악함이 수명을 줄인다. (벤자민 프랭클린, 인생명언)","If you wouldst live long, live well, for folly and wickedness shorten life. (Benjamin Franklin)"
"인간은 인생의 방향을 결정할 규칙을 가지고 있어야 한다. (존 웨인, 인생명언)","A man has to have a code, a way of life to live by. (John Wayne)"
"""결과보다 과정"" 이라는 말은 상업 항공의 등장으로 옛말이 되었다. (헨리 J. 틸만, 인생명언)","The saying ""Getting there is half the fun"" became obsolete with the advent of commercial airlines. (Henry J. Tillman)"
"보여지기에 적절하거나, 보일 준비가 되기 전의 남녀가 아니면 무엇이 젊음인가? (에블린 워, 인생명언)",What is youth except a man or a woman before it is ready or fit to be seen? (Evelyn Waugh)
"올바른 순간에 잘못된 행동을 하는 것이 삶의 모순 중 하나라고 생각한다. (찰리 채플린, 인생명언)",I suppose that's one of the ironies of life doing the wrong thing at the right moment. (Charlie Chaplin)
"젊음은 매우 새로운 것이다. 20년 전에는 아무도 이것을 언급하지 않았다. (가브리엘(코코) 샤넬, 인생명언)",Youth is something very new: twenty years ago no one mentioned it. (Gabriel Coco Chanel)
"태어나면서부터 현명한 이는 없다. (미겔 데 세르반테스, 인생명언)",No man is born wise. (Miguel de Cervantes)
"노인이 젊은이에게 얘기하듯이 망자도 산자에게 이야기하려고 노력한다면 좋을텐데. (윌라 카서, 인생명언)",The dead might as well try to speak to the living as the old to the young. (Willa Cather)
"우리는 영원불멸하다는 것을 느끼고 안다. (바뤼흐 스피노자, 인생명언)",We feel and know that we are eternal. (Baruch Spinoza)
"그 어떤 현인도 젊어지기를 바라지 않는다. (조나단 스위프트, 인생명언)",No wise man ever wished to be younger. (Jonathan Swift)
"인간은 자신이 필요로 하는 것을 찾아 세계를 여행하고 집에 돌아와 그것을 발견한다. (조지 무어, 인생명언)",A man travels the world over in search of what he needs and returns home to find it. (George Moore)
"남들이 단순하게 살 수 있도록 단순하게 살라. (마하트마 간디, 인생명언)",Live simply that others may simply live. (Mahatma Gandhi)
"작은 변화가 일어날 때 진정한 삶을 살게 된다. (레프 톨스토이, 인생명언)",True life is lived when tiny changes occur. (Lev Tolstoy)
"아침에 몸 단장을 하고 나면 정성들여 별의 몸 단장을 해주어야 해.('어린 왕자') (생텍쥐페리, 인생명언)","When you've finished getting yourself ready in the morning, you must go get the planet ready. (Antoine de Saint-Exupery)"
"가장 비참하고 보잘 것 없어 보이는 사람들이 대개 가장 야심차고 질투가 많다. (바뤼흐 스피노자, 인생명언)",Those who are believed to be most abject and humble are usually most ambitious and envious. (Baruch Spinoza)
"인생은 거울과 같으니, 비친 것을 밖에서 들여다 보기 보다 먼저 자신의 내면을 살펴야 한다. (월리 '페이머스' 아모스, 인생명언)","Life is just a mirror, and what you see out there, you must first see inside of you. (Wally 'Famous' Amos)"
"내가 아이오와에서 태어난 것은 사실이나 내 쌍둥이 여동생을 대신해 말할 수는 없다. (애비게일 반 뷰렌, 인생명언)","It is true that I was born in Iowa, but I can't speak for my twin sister. (Abigail Van Buren)"
"영원히 살 것처럼 꿈꾸고 오늘 죽을 것처럼 살아라. (제임스 딘, 인생명언)",Dream as if you'll live forever. Live as if you'll die today. (James Dean)
"길을 떠나기 전, 여행자는 여행에서 달성할 목적과 동기를 가지고 있어야 한다. (조지 산타야나, 인생명언)","Before he sets out, the traveler must possess fixed interests and facilities to be served by travel. (George Santayana)"
"행복한 삶의 비밀은 올바른 관계를 형성하고 그것에 올바른 가치를 매기는 것이다. (노먼 토머스, 인생명언)",The secret of a good life is to have the right loyalties and hold them in the right scale of values. (Norman Thomas)
"그대는 인생을 사랑하는가? 그렇다면 시간을 낭비하지 말라, 시간이야말로 인생을 형성하는 재료이기 때문이다. (벤자민 프랭클린, 인생명언)","Dost thou love life? Then do not squander time, for that is the stuff life is made of. (Benjamin Franklin)"
"왜 굳이 의미를 찾으려 하는가? 인생은 욕망이지, 의미가 아니다. (찰리 채플린, 인생명언)","What do you want a meaning for? Life is a desire, not a meaning. (Charlie Chaplin)"
"젊음은 반드시 칭송되는 것만큼 좋은 것은 아니다. (라와나 블랙웰, 인생명언)",Youth isn't always all it's touted to be. (Lawana Blackwell)
"인생이란 네가 다른 계획을 세우느라 바쁠 때 너에게 일어나는 것이다. (존 레논, 인생명언)",Life is what happens to you while you're busy making other plans. (John Lennon)
"나는 25세 이전에, 원하는 방식으로 인생을 산 후에 죽을 것이다. (시드 비셔스 , 인생명언)","I'll die before I'm 25, and when I do I'll have lived the way I wanted to. (Sid Vicious)"
"사람의 천성은 서로 비슷하지만, 습성으로 서로가 멀어지느니라. (性相近也 習相遠也 / 성상근야 습상원야) (공자, 인생명언)","By nature, men are nearly alike; by practice, they get to be wide apart. (Confucius)"
"인생은 하나의 치명적 통증이며 아주 전염성이 강한 통증이다. (올리버 웬델 홈스, 인생명언)","Life is a fatal complaint, and an eminently contagious one. (Oliver Wendell Holmes)"
"우리가 노력 없이 얻는 거의 유일한 것은 노년이다. (글로리아 피처, 인생명언)",About the only thing that comes to us without effort is old age. (Gloria Pitzer)
"우리 안에는 활기와 강력한 욕정이 자리잡고 있다. (윌리엄 셰익스피어 , 인생명언)",We have some salt of our youth in us. (William Shakespeare)
"결코 눈덩이를 던져보고 싶은 충동이 생기지 않으면, 당신은 노화의 손아귀에 꽉 붙잡힌 것이다. (더그 라슨, 인생명언)",The aging process has you firmly in its grasp if you never get the urge to throw a snowball. (Doug Larson)
"재산보다는 사람들이야말로 회복돼야 하고, 새로워져야하고, 활기를 얻고,깨우치고, 구원받아야한다. 결코 누구도 버려서는 안 된다. (오드리 햅번, 인생명언)","People, even more than things, have to be restored, renewed, revived, reclaimed, and redeemed; never throw out anyone. (Audrey Hepburn)"
"젊음은 희망을 빨리 갖기 때문에 그만큼 쉽게 현혹된다. (아리스토텔레스, 인생명언)",Youth is easily deceived because it is quick to hope. (Aristotle)
"인생의 최대 역설은 살아서 빠져나오는 사람이 거의 없다는 점이다. (로버트 하인라인, 인생명언)",The supreme irony of life is that hardly anyone gets out of it alive. (Robert Heinlein)
"예수는 너무 일찍 죽었다. 만일 그가 내 나이만큼 살았다면 자신의 교리를 부인했을 것이다. (프레드리히 니체, 인생명언)",Jesus died too soon. If he had lived to my age he would have repudiated his doctrine. (Friedrich Nietzsche)
"주간 고속도로 덕택에, 이제 대륙을 횡단하면서 아무 것도 볼 수 없는 일이 가능해졌다. (찰스 쿠럴트, 인생명언)","Thanks to the Interstate Highway System, it is now possible to travel from coast to coast without seeing anything. (Charles Kuralt)"
"인생은 자전거를 타는 것과 같다. 균형을 잡으려면 움직여야 한다. (알버트 아인슈타인, 인생명언)",Life is like riding a bicycle. To keep your balance you must keep moving. (Albert Einstein)
"영원한 젊음의 비밀은 발육이 정지되는 것이다. (앨리스 루즈벨트 롱워스, 인생명언)",The secret of eternal youth is arrested development. (Alice Roosevelt Longworth)
"20세에 보수주의자가 되는 것은 무정한 것이고 60세에 진보주의자가 되는 것은 정말 어리석은 것이다. (윈스턴 처칠, 인생명언)",To be conservative at 20 is heartless and to be a liberal at 60 is plain idiocy. (Sir Winston Churchill)
"인생은 3막이 고약하게 쓰여진 조금 괜찮은 연극이다.(인생의 3막에서 주인공은 숨진다.) (트루먼 카포트, 인생명언)",Life is a moderately good play with a badly written third act. (Truman Capote)
"안전이란 대개 미신이다. 그것은 사실상 존재하지 않는다… 인생은 대담한 모험이거나 아니면 아무것도 아니다. (헬렌 켈러, 인생명언)",Security is mostly a superstition. It does not exist in nature.... Life is either a daring adventure or nothing. (Helen Keller)
"우리는 젊을 때에 배우고 나이가 들어서 이해한다. (마리 폰 에브너 에셴바흐, 인생명언)",In youth we learn; in age we understand. (Marie Ebner von Eschenbach)
"자기 새끼 잡아먹기 좋아하는 담수어를 빼고 인간은 일부러 아이를 가지는 유일한 동물이다. (P. J. 오루크, 인생명언)","Humans are the only animals that have children on purpose with the exception of guppies, who like to eat theirs. (P. J. O'Rourke)"
"우리는 우리가 어른이 되는 것에서 도망치고 있다고 생각했다. 허나 이제 우리가 어른이 되어버렸다. (마가릿 애트우드 , 인생명언)","We thought we were running away from the grown-ups, and now we are the grown-ups. (Margaret Atwod)"
"우리는 나이가 들면서 변하는 게 아니다. 보다 자기다워지는 것이다. (린 홀, 인생명언)",We did not change as we grew older; we just became more clearly ourselves. (Lynn Hall)
"자신이 어떻게 변해왔는지 알려면 변하지 않은 곳으로 돌아가는 것보다 더 좋은 방법은 없다. (넬슨 만델라, 인생명언)",There is nothing like returning to a place that remains unchanged to find the ways in which you yourself have altered. (Nelson Mandela)
"20대에 당신의 얼굴은 자연이 준 것이지만, 50대의 당신의 얼굴은 스스로 가치를 만들어야 한다. (가브리엘(코코) 샤넬, 인생명언)",Nature gives you the face you have at twenty; it is up to you to merit the face you have at fifty. (Gabriel Coco Chanel)
"가는 곳마다 나보다 한 발 먼저 다녀간 시인이 있음을 발견한다. (지그문트 프로이트, 인생명언)",Everywhere I go I find a poet has been there before me. (Sigmund Freud)
"인덕이 어디 멀리 있는 것인가? 내가 어질고자 하면, 어짐에 이르느니라. (仁遠乎哉 我欲仁斯仁至矣 / 인원호재 아욕인사인지의) (공자, 인생명언)","Is virtue a thing remote? I wish to be virtuous, and lo! Virtue is at hand. (Confucius)"
"사람들은 앞으로 더 오래 살 것이고 늙어갈 것이므로, 어린아이로 더 오래 있는 방법을 배워야 할 것이다. (앤디 워홀, 인생명언)","Since people are going to be living longer and getting older, they'll just have to learn how to be babies longer. (Andy Warhol)"
"우리는 항상 젊음을 위해 미래를 개발할 수는 없지만, 미래를 위해 우리의 젊음을 개발할 수는 있다. (프랭클린 D. 루스벨트, 인생명언)","We cannot always build the future for our youth, but we can build our youth for the future. (Franklin D. Roosevelt)"
"우리는 매력적이고, 참신하고, 자발적으로 태어나며 사회에 참여할 수 있을 때까지 교양을 갖추어야 한다. (주디스 마틴, 인생명언)","We are born charming, fresh and spontaneous and must be civilized before we are fit to participate in society. (Judith Martin)"
"젊음은 경이롭다. 아이들에게 젊음을 낭비하다니 죄악이 아닐 수 없다. (조지 버나드 쇼, 인생명언)",Youth is a wonderful thing. What a crime to waste it on children. (George Bernard Shaw)
"세월이 어떻게 생각하고 느끼는지 젊은이들이 알 턱이 없다. 그러나 노인이 젊은 시절을 망각하는 것은 죄이다. (조앤 K. 롤링, 인생명언)",Youth cannot know how age thinks and feels. But old men are guilty if they forget what it was to be young. (J. K. Rowling)
"인생을 어떻게 살지 배워야 할 필요를 더욱 깨달아야 한다. 왜냐하면 인생은 매우 빠르고, 때로 너무 순식간에 지나가기 때문이다. (앤디 워홀, 인생명언)",People need to be made more aware of the need to work at learning how to live because life is so quick and sometimes it goes away too quickly. (Andy Warhol)
"성숙이란 어릴 때 놀이에 열중하던 진지함을 다시 발견하는 데 있다. (프레드리히 니체, 인생명언)",Maturity consists in having rediscovered the seriousness one had as a child at play. (Friedrich Nietzsche)
"오래된 생각을 이제 막 발견하고 그것이 자기 것이라고 생각하는 젊은 사내만큼 유쾌하게 거만한 존재는 없다. (시드니 J. 해리스, 인생명언)",Nothing can be so amusingly arrogant as a young man who has just discovered an old idea and thinks it is his own. (Sidney J. Harris)
"명성에는 이런 큰 단점도 있는 바, 바로 우리가 그것을 좇을 수록 다른 이들의 비위를 맞추는데 우리 인생을 경주해야한다는 것이다. (바뤼흐 스피노자, 인생명언)","Fame has also this great drawback, that if we pursue it, we must direct our lives so as to please the fancy of men. (Baruch Spinoza)"
"인생은 학기처럼 구분되어 있지도 않다. 여름 방학이란 것은 아예 있지도 않고, 극소수의 상사만이 당신의 자아발견에 관심을 가진다. (빌 게이츠, 인생명언)",Life is not divided into semesters. You don't get summers off and very few employers are interested in helping you find yourself. (Bill Gates)
"확실히 여행은 단순한 관광 이상이다. 여행은 삶에 관한 상념들에 계속해서 일어나는 깊고, 영구적인 변화이다. (미리엄 비어드, 인생명언)","Certainly, travel is more than the seeing of sights; it is a change that goes on, deep and permanent, in the ideas of living. (Miriam Beard)"
"성숙하다는 것은 다가오는 모든 생생한 위기를 피하지 않고 마주하는 것을 의미한다. (프리츠 쿤켈, 인생명언)","To be mature means to face, and not evade, every fresh crisis that comes. (Fritz Kunkel)"
"인간사에는 안정된 것이 하나도 없음을 기억하라. 그러므로 성공에 들뜨거나 역경에 지나치게 의기소침하지 마라. (소크라테스, 인생명언)","Remember that there is nothing stable in human affairs; therefore avoid undue elation in prosperity, or undue depression in adversity. (Socrates)"
"젊은이가 꾸미는 것을 비웃지 말라. 그는 그저 자신의 얼굴을 찾기 위해서 하나 하나 차례로 걸쳐 보고 있는 것이다. (로건 피어설 스미스, 인생명언)",Don't laugh at a youth for his affectations; he is only trying on one face after another to find his own. (Logan Pearsall Smith)
"우리 모두는 초대장도 없이, 비자발적으로 지구에 온 방문객이다. 하지만 나에겐 이 비밀조차 감탄스러울 따름이다. (알버트 아인슈타인, 인생명언)","Each of us visits this Earth involuntarily, and without an invitation. For me, it is enough to wonder at the secrets. (Albert Einstein)"
"여러분의 선생님이 엄격하다고 생각한다면, 직장 상사를 만날 때까지 기다려보세요. 상사는 (선생님처럼) 종신제가 아니니까요.(더 엄격할 거예요.) (빌 게이츠, 인생명언)","If you think your teacher is tough, wait until you get a boss. He doesn't have tenure. (Bill Gates)"
"인생을 살아가는 데는 오직 두가지 방법밖에 없다. 하나는 아무것도 기적이 아닌 것처럼, 다른 하나는 모든 것이 기적인 것처럼 살아가는 것이다. (알버트 아인슈타인, 인생명언)",There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is. (Albert Einstein)
"모든 것을 용서 받은 젊음은 스스로 아무 것도 용서하지 않는다. 스스로 모든 것을 용서하는 노년기는 아무 것도 용서받지 못한다. (조지 버나드 쇼, 인생명언)","Youth, which is forgiven everything, forgives itself nothing: age, which forgives itself everything, is forgiven nothing. (George Bernard Shaw)"
"젊은이를 타락으로 이끄는 확실한 방법은 다르게 생각하는 사람 대신 같은 사고방식을 가진 이를 존경하도록 지시하는 것이다. (프레드리히 니체, 인생명언)",The surest way to corrupt a youth is to instruct him to hold in higher esteem those who think alike than those who think differently. (Friedrich Nietzsche)
"자신에 대한 정의를 바꿀 만큼 심대한 변화는 단순히 삶과 사고 방식의 사소한 변화가 아닌, 총체적 탈태(脫態)를 요구한다. (마사 베크, 인생명언)",Any transition serious enough to alter your definition of self will require not just small adjustments in your way of living and thinking but a full-on metamorphosis. (Martha Beck)
"소년기란 홍역처럼 어릴 때 앓고 지나가야 하는 것이다. 중년이 되어 소년기가 찾아오면 심각한 증상이 될 가능성이 높다. (P. G. 우드하우스, 인생명언)","Boyhood, like measles, is one of those complaints which a man should catch young and have done with, for when it comes in middle life it is apt to be serious. (P. G. Wodehouse)"
"어진 사람을 보면 그와 같이 되기를 생각하고, 어질지 않은 사람을 보면 속으로 스스로 반성하라. (見賢思齊焉，見不賢而內自省也 / 견현사제언 견불현이내자성야) (공자, 인생명언)","When we see men of worth, we should think of equaling them; when we see men of a contrary character, we should turn inwards and examine ourselves. (Confucius)"
"내가 좋아하지 않는 모든 것은 당연히 내가 좋아할 만한 것의 반대일 것이라 생각하며 삶을 만들어 갔다. (가브리엘(코코) 샤넬, 인생명언)","I invented my life by taking for granted that everything I did not like would have an opposite, which I would like. (Gabriel Coco Chanel)"
"스무 살에 잘 생기지 못하고, 서른 살에 힘세지 않고, 마흔 살에 돈 못 벌고, 쉰 살에 현명하지 못하면, 결코 잘 생기거나, 힘세거나, 돈 벌거나, 현명해질 수 없다. (조지 허버트, 인생명언)","He that is not handsome at twenty, nor strong at thirty, nor rich at forty, nor wise at fifty, will never be handsome, strong, rich or wise. (George Herbert)"
"여행을 할 때는 여행하고 있는 국가가 너에게 편의를 제공하기 위해 설계된 것이 아니라는 점을 기억하라. 그 나라는 자국민들이 편안하게 살도록 설계되었다. (클리프턴 패디먼, 인생명언)","When you travel, remember that a foreign country is not designed to make you comfortable. It is designed to make its own people comfortable. (Clifton Fadiman)"
"사실, 인생의 어느 같은 시점에서 돈을 벌기 위한 회의에 참석하는 동시에 그 돈을 기부하기 위해 다른 회의에 가는 것은 다소 혼란스러우리라 생각했다. (빌 게이츠, 인생명언)","I actually thought that it would be a little confusing during the same period of your life to be in one meeting when you're trying to make money, and then go to another meeting where you're giving it away. (Bill Gates)"
"산 사람도 제대로 섬기지 못하는데 어찌 귀신을 섬기겠는가? 삶도 아직 모르는데 어찌 죽음에 대해 알겠느냐? (未能事人 焉能事鬼 未知生, 焉知死 / 미능사인 언능사귀 미지생 언지사) (공자, 인생명언)","While you are not able to serve men, how can you serve spirits [of the dead]?...While you do not know life, how can you know about death? (Confucius)"
"젊은이들은 젊음이 얼마나 힘들고 무시무시할 수 있는지 안다. 그들의 젊음은 다른 모든 이들에서 허비된다. 끔찍한 일이다. 젊은이들에게는 권위도 존경도 없다. (앤 라이스, 인생명언)","The young know how truly difficult and dreadful youth can be. Their youth is wasted on everyone else, that's the horror. The young have no authority, no respect. (Anne Rice)"
"우리는 앞으로 2년 뒤에 닥쳐올 변화에 대해서는 과대평가하지만 10년 뒤에 올 변화는 과소평가하는 경향이 있다. 그렇다고 스스로를 나태함으로 이끌지는 마라. (빌 게이츠, 인생명언)",We always overestimate the change that will occur in the next two years and underestimate the change that will occur in the next ten. Don't let yourself be lulled into inaction. (Bill Gates)
